"","ammonia_x","ammonia_y","ammonia"
"1",24488,64482,0.136
"2",24494,64475,0.032
"3",24503,64472,0.036
"4",24503,64490,0.355
"5",24497,64499,0.028
"6",24489,64496,0.245
"7",24355,64246,0.016
"8",24322,64262,0.008
"9",24308,64270,0.036
"10",24275,64291,0.029
"11",24262,64314,0.031
"12",24239,64330,0.021
"13",24235,64364,0.042
"14",24271,64371,0.034
"15",24307,64352,0.022
"16",24334,64333,0.018
"17",24350,64311,0.029
"18",24387,64287,0.766
"19",24406,64308,0.029
"20",24377,64328,0.022
"21",24348,64343,0.021
"22",24315,64363,0.022
"23",24288,64382,0.041
"24",24255,64411,0.034
"25",24231,64441,0.022
"26",24271,64443,0.033
"27",24306,64427,0.023
"28",24346,64407,0.037
"29",24378,64392,0.025
"30",24413,64378,0.109
"31",24451,64378,0.044
"32",24409,64417,0.034
"33",24368,64442,0.023
"34",24330,64460,0.026
"35",24276,64461,0.025
"36",24241,64501,0.011
"37",24274,64498,0.013
"38",24328,64492,0.993
"39",24326,64489,0.096
"40",24327,64491,0.039
"41",24400,64468,0.029
"42",24441,64450,0.102
"43",24492,64453,0.037
"44",24552,64479,0.028
"45",24521,64495,0.41
"46",24450,64495,0.039
"47",24378,64499,0.028
"48",24487,64518,0.008
"49",24493,64516,0.859
"50",24501,64516,0.097
"51",24491,64509,0.172
"52",24495,64503,2.482
"53",24498,64499,1.937
"54",24502,64501,0.399
"55",24505,64504,1.74
"56",24337,64511,0.038
"57",24319,64512,0.493
"58",24321,64510,0.331
"59",24435,64508,0.079
"60",24438,64508,0.104
"61",24491,64492,0.037
